team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost,formation_used_av_diff,touches_av_diff,total_pass_av_diff,long_pass_own_to_opp_success_av_diff,pen_area_entries_av_diff,final_third_entries_av_diff,total_fwd_zone_pass_av_diff,total_final_third_passes_av_diff,attempts_obox_av_diff,attempts_ibox_av_diff,total_offside_av_diff,total_tackle_av_diff,blocked_pass_av_diff,interception_av_diff,total_back_zone_pass_av_diff,fk_foul_lost_av_diff
Burnley,1750.7894736842106,626.578947368421,445.89473684210526,35.6578947368421,29.94736842105263,57.578947368421055,266.5,129.71052631578948,4.5,7.552631578947368,2.1578947368421053,12.263157894736842,13.657894736842104,9.763157894736842,197.55263157894737,10.68421052631579,-28.84857247970159,-4.836701618495471,-5.648347426127661,-4.030030455414697,7.846853677028025,6.888128969223251,-1.3001442438891335,-0.19539752766444224,2.702702702702719,-2.1145975443383676,25.76687116564419,-21.003559925411082,-16.25655506252521,-5.284656624968079,-10.481221567025804,-1.9678860316310522
West Bromwich Albion,3033.5263157894738,656.5,468.0,37.63157894736842,32.3421052631579,60.18421052631579,288.42105263157896,142.02631578947367,4.973684210526316,8.078947368421053,1.6842105263157894,14.5,15.263157894736842,9.868421052631579,200.3421052631579,10.710526315789474,23.281371651508778,-0.2923643543303856,-0.9708575676495705,1.2819604787874401,16.47081122062167,11.72447484123106,6.81844762387431,9.280876352849448,13.513513513513534,4.7066848567530455,-1.8404907975460052,-6.594338023393795,-6.413876563130281,-4.263466938983913,-9.217202582891629,-1.726427622841959
Crystal Palace,1702.9473684210527,662.2894736842105,471.07894736842104,38.6578947368421,28.157894736842106,57.13157894736842,278.3421052631579,135.55263157894737,4.368421052631579,7.868421052631579,1.8421052631578947,17.36842105263158,17.736842105263158,10.105263157894736,211.81578947368422,11.342105263157896,-30.792857692867116,0.586926936888891,-0.3193500516472676,4.044195764572554,1.4025777103866397,6.05764533463604,3.0856496822735977,4.299758031040868,-0.30030030030028865,1.9781718963164756,7.361963190184059,11.883370062722493,8.753529649052046,-1.965790145519531,-4.018030157585009,4.068574188096108
Everton,2921.9736842105262,687.5526315789474,499.7631578947368,41.0,27.86842105263158,52.0,268.63157894736844,125.94736842105263,4.394736842105263,6.605263157894737,1.3157894736842106,15.894736842105264,17.473684210526315,9.763157894736842,250.47368421052633,10.578947368421053,18.74791454556341,4.423834389482107,5.7502498837588245,10.347758339825766,0.36012130401817505,-3.4684904738641977,-0.5107013371798368,-3.0909256578214745,0.3003003003003089,-14.392905866302886,-23.31288343558281,2.390235633158166,7.139975796692221,-5.284656624968079,13.499365009331084,-2.933719666787391
Newcastle United,1494.7631578947369,618.0,438.10526315789474,36.55263157894737,26.36842105263158,52.36842105263158,262.05263157894734,120.8157894736842,4.657894736842105,7.342105263157895,1.6842105263157894,14.052631578947368,15.578947368421053,9.5,194.5,10.552631578947368,-39.25338592243394,-6.1396514409385805,-7.296605757210416,-1.6219278985763828,-5.041698256254758,-2.784562774792379,-2.947253518381366,-7.039373108035604,6.306306306306324,-4.843110504774926,-1.8404907975460052,-9.476182403797255,-4.477611940298494,-7.837630839928512,-11.864487625134903,-3.175178075576484
Tottenham Hotspur,2740.7894736842104,672.8157894736842,484.2368421052632,38.31578947368421,26.44736842105263,53.44736842105263,271.5263157894737,127.89473684210526,4.315789473684211,7.842105263157895,1.5526315789473684,17.05263157894737,17.236842105263158,9.68421052631579,228.57894736842104,11.947368421052632,11.38465618877317,2.185638375469389,2.4648701022087454,3.1234506693108623,-4.757391963608819,-0.7816316560820803,0.5613816225488276,-1.592540471586371,-1.5015015015014836,1.6371077762619073,-9.509202453987722,9.849126970673005,5.687777329568385,-6.050548889456213,3.5780084546175344,9.622117590245082
Chelsea,2320.157894736842,698.2894736842105,510.7631578947368,38.13157894736842,26.55263157894737,53.18421052631579,281.55263157894734,133.44736842105263,4.421052631578948,7.473684210526316,1.5263157894736843,15.81578947368421,18.57894736842105,11.763157894736842,246.81578947368422,10.657894736842104,-5.709653408167302,6.054520056834217,8.077857932382445,2.627664848785315,-4.37831690674755,-1.2701514411333756,4.274687146699916,2.6798821540299422,0.9009009009009266,-3.1377899045020725,-11.042944785276058,1.8816748601457882,13.916901976603475,14.11794740873118,11.841830681079662,-2.209344440420145
Brighton and Hove Albion,2141.342105263158,672.7894736842105,490.3421052631579,36.44736842105263,29.55263157894737,54.63157894736842,273.1842105263158,136.26315789473685,3.6578947368421053,7.7631578947368425,1.3421052631578947,14.789473684210526,16.657894736842106,11.5,235.1578947368421,11.210526315789474,-12.97666002173152,2.1816415968729443,3.756748253597933,-1.9052340817338382,6.425322213798316,1.4167073766487417,1.1753927722115998,4.846466139532059,-16.516516516516504,0.6139154160982023,-21.77914110429447,-4.7296151890150915,2.1379588543767825,11.564973193770749,6.5591853039906,2.8612821441506764
Manchester United,3324.842105263158,655.5,468.05263157894734,34.36842105263158,24.342105263157894,49.28947368421053,253.3684210526316,125.65789473684211,4.315789473684211,7.473684210526316,2.1578947368421053,15.763157894736842,18.5,12.131578947368421,229.6578947368421,10.973684210526315,35.12033606830877,-0.4442419409955335,-0.9597206870341521,-7.500531199093412,-12.338893100833987,-8.50024425989253,-6.163502397567348,-3.313658590910472,-1.5015015015014836,-3.1377899045020725,25.76687116564419,1.5426343448042068,13.432835820895535,17.692111309675777,4.066921457914724,0.6881564650488888
Southampton,1604.1842105263158,632.5,438.5,34.76315789473684,23.973684210526315,50.13157894736842,243.0,111.71052631578948,4.052631578947368,7.473684210526316,2.3947368421052633,17.973684210526315,18.0,11.052631578947368,210.10526315789474,11.526315789473685,-34.80655538539199,-3.937426434293936,-7.213079152594737,-6.438133012252992,-13.66565579984839,-6.9369809477283955,-10.003508635140935,-14.045336276107841,-7.5075075075074995,-3.1377899045020725,39.57055214723929,15.7823359891507,10.367083501411873,7.224917028338017,-4.793136138422007,5.75878304961971
